"L0","x","y","H0"
2,0,0,0.999419927597046
1,0,0,0.634901285171509
1,1,0,0.999419927597046
1,0,1,0.75415301322937
1,1,1,0.548109769821167
0.5,0,0,0.330045700073242
0.5,0.5,0,0.400866985321045
0.5,1,0,0.661202192306519
0.5,1.5,0,0.977075576782227
0.5,0,0.5,0.389114141464233
0.5,0.5,0.5,0.464549779891968
0.5,1,0.5,0.542926549911499
0.5,1.5,0.5,0.76002025604248
0.5,0,1,0.75415301322937
0.5,0.5,1,0.492979526519775
0.5,1,1,0.474607706069946
0.5,1.5,1,0.497294664382935
0.5,0,1.5,0.531764268875122
0.5,0.5,1.5,0.564383983612061
0.5,1,1.5,0.542278289794922
0.5,1.5,1.5,0.438674449920654
0.25,0,0,0.124516248703003
0.25,0.25,0,0.170642852783203
0.25,0.5,0,0.387292385101318
0.25,0.75,0,0.325228452682495
0.25,1,0,0.545437812805176
0.25,1.25,0,0.661202192306519
0.25,1.5,0,0.28183650970459
0.25,1.75,0,0.26473331451416
0.25,0,0.25,0.115495920181274
0.25,0.25,0.25,0.308937072753906
0.25,0.5,0.25,0.291788578033447
0.25,0.75,0.25,0.367353439331055
0.25,1,0.25,0.421862602233887
0.25,1.25,0.25,0.297199487686157
0.25,1.5,0.25,0.827924251556396
0.25,1.75,0.25,0.970558643341064
0.25,0,0.5,0.117272138595581
0.25,0.25,0.5,0.27699089050293
0.25,0.5,0.5,0.203838109970093
0.25,0.75,0.5,0.379229307174683
0.25,1,0.5,0.343986511230469
0.25,1.25,0.5,0.423901319503784
0.25,1.5,0.5,0.575067758560181
0.25,1.75,0.5,0.380885362625122
0.25,0,0.75,0.111154794692993
0.25,0.25,0.75,0.387038230895996
0.25,0.5,0.75,0.260968923568726
0.25,0.75,0.75,0.44109582901001
0.25,1,0.75,0.276607513427734
0.25,1.25,0.75,0.406357049942017
0.25,1.5,0.75,0.607656240463257
0.25,1.75,0.75,0.392343282699585
0.25,0,1,0.735135316848755
0.25,0.25,1,0.725482225418091
0.25,0.5,1,0.213971614837646
0.25,0.75,1,0.370978832244873
0.25,1,1,0.445184707641602
0.25,1.25,1,0.322919845581055
0.25,1.5,1,0.495121002197266
0.25,1.75,1,0.399230718612671
0.25,0,1.25,0.658469915390015
0.25,0.25,1.25,0.610832214355469
0.25,0.5,1.25,0.475274801254272
0.25,0.75,1.25,0.224346876144409
0.25,1,1.25,0.424699544906616
0.25,1.25,1.25,0.326887130737305
0.25,1.5,1.25,0.317593812942505
0.25,1.75,1.25,0.385724782943726
0.25,0,1.5,0.311156988143921
0.25,0.25,1.5,0.329626798629761
0.25,0.5,1.5,0.223102569580078
0.25,0.75,1.5,0.251676082611084
0.25,1,1.5,0.177323341369629
0.25,1.25,1.5,0.183053970336914
0.25,1.5,1.5,0.31937050819397
0.25,1.75,1.5,0.273861885070801
0.25,0,1.75,0.299494504928589
0.25,0.25,1.75,0.493300199508667
0.25,0.5,1.75,0.515740871429443
0.25,0.75,1.75,0.437906503677368
0.25,1,1.75,0.541745662689209
0.25,1.25,1.75,0.536267042160034
0.25,1.5,1.75,0.213748693466187
0.25,1.75,1.75,0.117029905319214
0.125,0,0,0.0835094451904297
0.125,0.125,0,0.0667934417724609
0.125,0.25,0,0.0966281890869141
0.125,0.375,0,0.167960166931152
0.125,0.5,0,0.307977199554443
0.125,0.625,0,0.132449865341187
0.125,0.75,0,0.208639144897461
0.125,0.875,0,0.284953832626343
0.125,1,0,0.199707984924316
0.125,1.125,0,0.345892667770386
0.125,1.25,0,0.450109243392944
0.125,1.375,0,0.44062876701355
0.125,1.5,0,0.135089874267578
0.125,1.625,0,0.151246547698975
0.125,1.75,0,0.18306565284729
0.125,1.875,0,0.180592775344849
0.125,0,0.125,0.0772914886474609
0.125,0.125,0.125,0.0788743495941162
0.125,0.25,0.125,0.121257781982422
0.125,0.375,0.125,0.09303879737854
0.125,0.5,0.125,0.276496887207031
0.125,0.625,0.125,0.332194566726685
0.125,0.75,0.125,0.249695062637329
0.125,0.875,0.125,0.204359292984009
0.125,1,0.125,0.393860101699829
0.125,1.125,0.125,0.329057455062866
0.125,1.25,0.125,0.285014390945435
0.125,1.375,0.125,0.214536666870117
0.125,1.5,0.125,0.192956686019897
0.125,1.625,0.125,0.225144147872925
0.125,1.75,0.125,0.26473331451416
0.125,1.875,0.125,0.139639854431152
0.125,0,0.25,0.0752289295196533
0.125,0.125,0.25,0.10305643081665
0.125,0.25,0.25,0.218969345092773
0.125,0.375,0.25,0.171446084976196
0.125,0.5,0.25,0.175819873809814
0.125,0.625,0.25,0.14271354675293
0.125,0.75,0.25,0.12985634803772
0.125,0.875,0.25,0.367353439331055
0.125,1,0.25,0.402075052261353
0.125,1.125,0.25,0.0401525497436523
0.125,1.25,0.25,0.079970121383667
0.125,1.375,0.25,0.109768152236938
0.125,1.5,0.25,0.157790422439575
0.125,1.625,0.25,0.568989992141724
0.125,1.75,0.25,0.800502777099609
0.125,1.875,0.25,0.585110902786255
0.125,0,0.375,0.0650956630706787
0.125,0.125,0.375,0.0734362602233887
0.125,0.25,0.375,0.171825885772705
0.125,0.375,0.375,0.183115482330322
0.125,0.5,0.375,0.247009038925171
0.125,0.625,0.375,0.189767837524414
0.125,0.75,0.375,0.277954578399658
0.125,0.875,0.375,0.215110778808594
0.125,1,0.375,0.337274789810181
0.125,1.125,0.375,0.249727964401245
0.125,1.25,0.375,0.136500597000122
0.125,1.375,0.375,0.273886203765869
0.125,1.5,0.375,0.431476593017578
0.125,1.625,0.375,0.819654703140259
0.125,1.75,0.375,0.941657066345215
0.125,1.875,0.375,0.803415060043335
0.125,0,0.5,0.0624401569366455
0.125,0.125,0.5,0.0965425968170166
0.125,0.25,0.5,0.0350360870361328
0.125,0.375,0.5,0.166850328445435
0.125,0.5,0.5,0.198478221893311
0.125,0.625,0.5,0.190613269805908
0.125,0.75,0.5,0.210282325744629
0.125,0.875,0.5,0.261965274810791
0.125,1,0.5,0.285229682922363
0.125,1.125,0.5,0.126435041427612
0.125,1.25,0.5,0.193126678466797
0.125,1.375,0.5,0.418447732925415
0.125,1.5,0.5,0.485998153686523
0.125,1.625,0.5,0.575067758560181
0.125,1.75,0.5,0.16363263130188
0.125,1.875,0.5,0.108652830123901
0.125,0,0.625,0.10238242149353
0.125,0.125,0.625,0.0896706581115723
0.125,0.25,0.625,0.112049102783203
0.125,0.375,0.625,0.27699089050293
0.125,0.5,0.625,0.126441955566406
0.125,0.625,0.625,0.139340400695801
0.125,0.75,0.625,0.377465486526489
0.125,0.875,0.625,0.11024808883667
0.125,1,0.625,0.0679984092712402
0.125,1.125,0.625,0.193175792694092
0.125,1.25,0.625,0.295575380325317
0.125,1.375,0.625,0.391572713851929
0.125,1.5,0.625,0.163814067840576
0.125,1.625,0.625,0.148625373840332
0.125,1.75,0.625,0.274698734283447
0.125,1.875,0.625,0.373988389968872
0.125,0,0.75,0.072847843170166
0.125,0.125,0.75,0.100384712219238
0.125,0.25,0.75,0.0913381576538086
0.125,0.375,0.75,0.239405393600464
0.125,0.5,0.75,0.163866281509399
0.125,0.625,0.75,0.244553804397583
0.125,0.75,0.75,0.404020547866821
0.125,0.875,0.75,0.145279169082642
0.125,1,0.75,0.136701107025146
0.125,1.125,0.75,0.261873006820679
0.125,1.25,0.75,0.33536696434021
0.125,1.375,0.75,0.144741773605347
0.125,1.5,0.75,0.266254901885986
0.125,1.625,0.75,0.36635684967041
